Citation,Description,CET,CommentsCET,SoV,CommentsSoV,Venue,Count,Group,HtmlText
"Thompson, K., Ashe, D., Carvalho, L., Goodyear, P., Kelly, N., & Parisio, M. (2013). Processing and visualizing data in complex learning environments. American Behavioral Scientist, 57(10), 1401-1420.",This paper proposes how to use visual learning analytics using two case studies to demonstrate it.,3,"While this study uses an analytical framework that is informed by several areas listed in the paper, the connection to educational theories is limited and not explicit. ",3,The visualizations are static and shows two levels of the data (tool and object). ,American Behavioral Scientist,4,0,"<b> Citation: </b>Thompson, K., Ashe, D., Carvalho, L., Goodyear, P., Kelly, N., & Parisio, M. (2013). Processing and visualizing data in complex learning environments. American Behavioral Scientist, 57(10), 1401-1420.</br></br><b> Description: </b>This paper proposes how to use visual learning analytics using two case studies to demonstrate it.</br></br><b> CET: </b>While this study uses an analytical framework that is informed by several areas listed in the paper, the connection to educational theories is limited and not explicit. </br></br><b> SoV: </b>The visualizations are static and shows two levels of the data (tool and object). </br></br></br></br><b> Citation: </b>Kotranza, A., Lind, D. S., & Lok, B. (2012). Real-time evaluation and visualization of learner performance in a mixed-reality environment for clinical breast examination. IEEE transactions on visualization and computer graphics, 18(7), 1101-1114.</br></br><b> Description: </b>This paper proposes a tool to visualize students' interactions with a simulation that was used for training in clinical breast examination</br></br><b> CET: </b>The paper presents a review of mixed reality environments but does not make a connection to learning theories.</br></br><b> SoV: </b>The visualizations are interactive because they represent what the students are doing in real time. However, they show a single level of the data (i.e., student).</br></br></br></br><b> Citation: </b>Khan, I., & Pardo, A. (2016, April). Data2U: scalable real time student feedback in active learning environments. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 249-253). ACM.</br></br><b> Description: </b>Presents and evaluates a student dashboard of engagement with course activities</br></br><b> CET: </b>Briefly introduces feedback as the learning component of visual analytics. No discussion of findings under the existing literature</br></br><b> SoV: </b>Simple interactive visualization is presented</br></br></br></br><b> Citation: </b>Eagle, M., Brown, R., Rowe, E., Barnes, T., Asbell-Clarke, J., & Edwards, T. (2015). Exploring Problem-Solving Behavior in an Optics Game. In EDM (pp. 584-585).</br></br><b> Description: </b>Uses network maps to understand students' problem-solving behavior in a game</br></br><b> CET: </b>Connects with one reference from their own prior work.</br></br><b> SoV: </b>Novel static visualization is presented</br></br>"
"Verbert, K., Duval, E., Klerkx, J., Govaerts, S., & Santos, J. L. (2013). Learning analytics dashboard applications. American Behavioral Scientist, 57(10), 1500-1509.",This paper proposes a model to compare learning analytics dashboards.   Compare their dashboard to other existing dashboards. The analysis we conduct here is on the StepUp! tool,3,"The paper mentions ""computer-=supported collaborative learning"" but does not make a explicit connection to the presented work",4,"The visualizations are simple, and they involve two levels (one for the teacher, one for the students), with a limitedinteractivity",American Behavioral Scientist,4,0,"<b> Citation: </b>Verbert, K., Duval, E., Klerkx, J., Govaerts, S., & Santos, J. L. (2013). Learning analytics dashboard applications. American Behavioral Scientist, 57(10), 1500-1509.</br></br><b> Description: </b>This paper proposes a model to compare learning analytics dashboards.   Compare their dashboard to other existing dashboards. The analysis we conduct here is on the StepUp! tool</br></br><b> CET: </b>The paper mentions ""computer-=supported collaborative learning"" but does not make a explicit connection to the presented work</br></br><b> SoV: </b>The visualizations are simple, and they involve two levels (one for the teacher, one for the students), with a limitedinteractivity</br></br></br></br><b> Citation: </b>Ruipérez-Valiente, J. A., Muñoz-Merino, P. J., Leony, D., & Kloos, C. D. (2015). ALAS-KA: A learning analytics extension for better understanding the learning process in the Khan Academy platform. Computers in Human Behavior, 47, 139-148.</br></br><b> Description: </b>This paper presents a learning analytics tool for Khan Academy.</br></br><b> CET: </b>Although the paper proposes specific constructs to explore using  the analytics tool (e.g., persistence, affective states), there is no connection with theories or relevant literature to support these constructs</br></br><b> SoV: </b>Multi-level, static, disconnected visualizations</br></br></br></br><b> Citation: </b>Jacovina, M. E., Snow, E. L., Allen, L. K., Roscoe, R. D., Weston, J. L., Dai, J., & McNamara, D. S. (2015). How to visualize success: Presenting complex data in a writing strategy tutor. In Proceedings of 8th international conference on educational data mining.</br></br><b> Description: </b>Visualization of students progresss in an intelligent tutoring system</br></br><b> CET: </b>Brief mention to intelligent tutoring systems</br></br><b> SoV: </b>Multiple simple static disconnected visualizations</br></br></br></br><b> Citation: </b>Warner, J., Doorenbos, J., Miller, B. N., & Guo, P. J. (2015). How high school, college, and online students differentially engage with an interactive digital textbook. In International Conference on Educational Data Mining (EDM).</br></br><b> Description: </b>Understanding students interactions with digital textbooks</br></br><b> CET: </b>No background literature to inform the design. Briefly connects with drop-out literature from MOOCS to interpret the findings.</br></br><b> SoV: </b>Multiple simple static disconnected visualizations</br></br>"
"Gómez-Aguilar, D. A., Hernández-García, Á., García-Peñalvo, F. J., & Therón, R. (2015). Tap into visual analysis of customization of grouping of activities in eLearning. Computers in Human Behavior, 47, 60-67.",This paper aims at identifying a relationship between students' behavior and performance using a learning analytics tool,3,"Presents a background in learning analytics and the types of interactions that can take place, but does not connect these to an educational theory",7,"Multi-level, traditional, interactive, connected visualizations",Computers in Human Behavior,1,3,"<b> Citation: </b>Gómez-Aguilar, D. A., Hernández-García, Á., García-Peñalvo, F. J., & Therón, R. (2015). Tap into visual analysis of customization of grouping of activities in eLearning. Computers in Human Behavior, 47, 60-67.</br></br><b> Description: </b>This paper aims at identifying a relationship between students' behavior and performance using a learning analytics tool</br></br><b> CET: </b>Presents a background in learning analytics and the types of interactions that can take place, but does not connect these to an educational theory</br></br><b> SoV: </b>Multi-level, traditional, interactive, connected visualizations</br></br>"
"Schwab, M., Strobelt, H., Tompkin, J., Fredericks, C., Huff, C., Higgins, D., ... & Pfister, H. (2017). booc. io: An Education System with Hierarchical Concept Maps and Dynamic Non-linear Learning Plans. IEEE Transactions on Visualization and Computer Graphics, 23(1), 571-580.","The purpose of this study is to create a visualization tool of content, that could help both instructors and students to visualize how the content of a given course should be learned",3,"The paper mentions self-guided learning and personalized learning, but does not expand on the theory nor does it guide the research component using these as frameworks.",10,"Multi-level, novel, interactive visualization, with all levels connected to each other",IEEE Transactions on Visualization and Computer Graphics,1,6,"<b> Citation: </b>Schwab, M., Strobelt, H., Tompkin, J., Fredericks, C., Huff, C., Higgins, D., ... & Pfister, H. (2017). booc. io: An Education System with Hierarchical Concept Maps and Dynamic Non-linear Learning Plans. IEEE Transactions on Visualization and Computer Graphics, 23(1), 571-580.</br></br><b> Description: </b>The purpose of this study is to create a visualization tool of content, that could help both instructors and students to visualize how the content of a given course should be learned</br></br><b> CET: </b>The paper mentions self-guided learning and personalized learning, but does not expand on the theory nor does it guide the research component using these as frameworks.</br></br><b> SoV: </b>Multi-level, novel, interactive visualization, with all levels connected to each other</br></br>"
"Duque, R., Gómez-Pérez, D., Nieto-Reyes, A., & Bravo, C. (2015). Analyzing collaboration and interaction in learning environments to form learner groups. Computers in Human Behavior, 47, 42-49.","Proposes a method to analyze students interactions, which is then used to create working groups",4,"Presents a background of computer supported collaborative learning as input for the proposed work, but does not explicitly inform the design, or discuss findings using this literature",1,Static simple visualization is presented,Computers in Human Behavior,1,3,"<b> Citation: </b>Duque, R., Gómez-Pérez, D., Nieto-Reyes, A., & Bravo, C. (2015). Analyzing collaboration and interaction in learning environments to form learner groups. Computers in Human Behavior, 47, 42-49.</br></br><b> Description: </b>Proposes a method to analyze students interactions, which is then used to create working groups</br></br><b> CET: </b>Presents a background of computer supported collaborative learning as input for the proposed work, but does not explicitly inform the design, or discuss findings using this literature</br></br><b> SoV: </b>Static simple visualization is presented</br></br>"
"Cruz-Benito, J., Therón, R., García-Peñalvo, F. J., & Lucas, E. P. (2015). Discovering usage behaviors and engagement in an Educational Virtual World. Computers in Human Behavior, 47, 18-25.",This paper explores usage behaviors and engagement in a virual world.,4,"Presents a background of engagement, but does not  inform the visualization design nor does it discuss the findings using this literature",2,Unique static visualizations are presented,Computers in Human Behavior,1,3,"<b> Citation: </b>Cruz-Benito, J., Therón, R., García-Peñalvo, F. J., & Lucas, E. P. (2015). Discovering usage behaviors and engagement in an Educational Virtual World. Computers in Human Behavior, 47, 18-25.</br></br><b> Description: </b>This paper explores usage behaviors and engagement in a virual world.</br></br><b> CET: </b>Presents a background of engagement, but does not  inform the visualization design nor does it discuss the findings using this literature</br></br><b> SoV: </b>Unique static visualizations are presented</br></br>"
"Ali, L., Hatala, M., Gaševi?, D., & Jovanovi?, J. (2012). A qualitative evaluation of evolution of a learning analytics tool. Computers & Education, 58(1), 470-489.",This paper evaluates a learning analytics tool called LOCO-analyst,4,"The paper discusses the different forms of feedback for learning analytics, but it is unclear how this theory helped design the visualizations, and the results are not discussed under the lens of feedback literature",3,Static simple visualizations are used,Computers & Education,1,2,"<b> Citation: </b>Ali, L., Hatala, M., Gaševi?, D., & Jovanovi?, J. (2012). A qualitative evaluation of evolution of a learning analytics tool. Computers & Education, 58(1), 470-489.</br></br><b> Description: </b>This paper evaluates a learning analytics tool called LOCO-analyst</br></br><b> CET: </b>The paper discusses the different forms of feedback for learning analytics, but it is unclear how this theory helped design the visualizations, and the results are not discussed under the lens of feedback literature</br></br><b> SoV: </b>Static simple visualizations are used</br></br>"
"Davis, D., Chen, G., Hauff, C., & Houben, G. J. (2016). Gauging MOOC Learners' Adherence to the Designed Learning Path. In Proceedings of the 9th International Conference on Educational Data Mining (EDM). Raleigh, NC, USA.",Identifies learning pahts from students in a MOOC,4,"Provides background on learner modeling, but does not connect to the design of the visualization. There is not discussion of the findings under the existing literature",4,"Multi-level, simple, disconnected visualizations",EDM,2,0,"<b> Citation: </b>Davis, D., Chen, G., Hauff, C., & Houben, G. J. (2016). Gauging MOOC Learners' Adherence to the Designed Learning Path. In Proceedings of the 9th International Conference on Educational Data Mining (EDM). Raleigh, NC, USA.</br></br><b> Description: </b>Identifies learning pahts from students in a MOOC</br></br><b> CET: </b>Provides background on learner modeling, but does not connect to the design of the visualization. There is not discussion of the findings under the existing literature</br></br><b> SoV: </b>Multi-level, simple, disconnected visualizations</br></br></br></br><b> Citation: </b>Schneider, B., & Pea, R. (2014, July). The effect of mutual gaze perception on students’ verbal coordination. In Proceedings of the 7th International Conference on Educational Data Mining (EDM 2014) (pp. 138-144).</br></br><b> Description: </b>Understanding the collaboration by exploring  students' awareness of each other ""gaze"" and verbal discussions</br></br><b> CET: </b>Builds on top of previous research that has demonstrated the effect of gaze awareness on learning. Does not inform the design  using this literature. No discussion under existing literature.</br></br><b> SoV: </b>Multiple simple static disconnected visualizations</br></br>"
"Ruiz, S., Charleer, S., Urretavizcaya, M., Klerkx, J., Fernández-Castro, I., & Duval, E. (2016, April). Supporting learning by considering emotions: tracking and visualization a case study. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 254-263). ACM.",Presents a dashboard to visualize students' emotions and how they evolve in a course,4,Brief discussion on the role of emotions. No connection with theory on the discussion section ,7,"Multi-level, interactive, mostly traditional, disconnected  visualizations",LAK,1,9,"<b> Citation: </b>Ruiz, S., Charleer, S., Urretavizcaya, M., Klerkx, J., Fernández-Castro, I., & Duval, E. (2016, April). Supporting learning by considering emotions: tracking and visualization a case study. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 254-263). ACM.</br></br><b> Description: </b>Presents a dashboard to visualize students' emotions and how they evolve in a course</br></br><b> CET: </b>Brief discussion on the role of emotions. No connection with theory on the discussion section </br></br><b> SoV: </b>Multi-level, interactive, mostly traditional, disconnected  visualizations</br></br>"
"Hsiao, I. H., Pandhalkudi Govindarajan, S. K., & Lin, Y. L. (2016, April). Semantic visual analytics for today's programming courses. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 48-53). ACM.",Introduces a visualization tool for analysis of programming tests,4,Introduces computer-supported collaborative learning and orchestration. No clear connection to the design and no discussion of results under the lens of literature,9,"Multi-level, connected, interactive visualizations",LAK,1,9,"<b> Citation: </b>Hsiao, I. H., Pandhalkudi Govindarajan, S. K., & Lin, Y. L. (2016, April). Semantic visual analytics for today's programming courses. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 48-53). ACM.</br></br><b> Description: </b>Introduces a visualization tool for analysis of programming tests</br></br><b> CET: </b>Introduces computer-supported collaborative learning and orchestration. No clear connection to the design and no discussion of results under the lens of literature</br></br><b> SoV: </b>Multi-level, connected, interactive visualizations</br></br>"
"Minovi?, M., Milovanovi?, M., Šoševi?, U., & González, M. Á. C. (2015). Visualisation of student learning model in serious games. Computers in Human Behavior, 47, 98-107.",Proposes a visualization tool for student learning model in an educational game,5,"Integrates Anderson's Taxonomy model for the development of the tool, but only brief connection with it on the discussion section is presented. Moreover, although ""informs"" the visualization in the context of educational games, there are no references for this connection.",1,Static simple visualization is presented,Computers in Human Behavior,1,3,"<b> Citation: </b>Minovi?, M., Milovanovi?, M., Šoševi?, U., & González, M. Á. C. (2015). Visualisation of student learning model in serious games. Computers in Human Behavior, 47, 98-107.</br></br><b> Description: </b>Proposes a visualization tool for student learning model in an educational game</br></br><b> CET: </b>Integrates Anderson's Taxonomy model for the development of the tool, but only brief connection with it on the discussion section is presented. Moreover, although ""informs"" the visualization in the context of educational games, there are no references for this connection.</br></br><b> SoV: </b>Static simple visualization is presented</br></br>"
"Iglesias-Pradas, S., Ruiz-de-Azcárate, C., & Agudo-Peregrina, Á. F. (2015). Assessing the suitability of student interactions from Moodle data logs as predictors of cross-curricular competencies. Computers in Human Behavior, 47, 81-89.",Captures interactions from a LMS to identify the development of team work and commitment,5,"Defines commitment and teamwork based on existing literature to guide the development of analysis tools, but it does not inform the design of the visualizations using this literature. Discusses findings connecting with only two sources of literature",3,"Several static, disconnected visualizations are presented",Computers in Human Behavior,2,0,"<b> Citation: </b>Iglesias-Pradas, S., Ruiz-de-Azcárate, C., & Agudo-Peregrina, Á. F. (2015). Assessing the suitability of student interactions from Moodle data logs as predictors of cross-curricular competencies. Computers in Human Behavior, 47, 81-89.</br></br><b> Description: </b>Captures interactions from a LMS to identify the development of team work and commitment</br></br><b> CET: </b>Defines commitment and teamwork based on existing literature to guide the development of analysis tools, but it does not inform the design of the visualizations using this literature. Discusses findings connecting with only two sources of literature</br></br><b> SoV: </b>Several static, disconnected visualizations are presented</br></br></br></br><b> Citation: </b>Muñoz-Merino, P. J., Ruipérez-Valiente, J. A., Alario-Hoyos, C., Pérez-Sanagustín, M., & Kloos, C. D. (2015). Precise Effectiveness Strategy for analyzing the effectiveness of students with educational resources and activities in MOOCs. Computers in Human Behavior, 47, 108-118.</br></br><b> Description: </b>Proposes a metric called Precise Effectiveness Strategy (PES) to calculate students' effectiveness with educational resources</br></br><b> CET: </b>Presents a background of students' effectiveness in learning to inform the PES, but does not inform the visualization using this background, and only cites one of these papers to discuss the findings</br></br><b> SoV: </b>Several static disconnected visualizations with two different levels are presented</br></br>"
"Bull, S., Ginon, B., Boscolo, C., & Johnson, M. (2016, April). Introduction of learning visualisations and metacognitive support in a persuadable open learner model. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 30-39). ACM.",Presents visualizations for the open-learner model.,5,"Describes the open learner model, but there is not explicit connection to the design (other than a citation). Brings the open-learner model back on the discussion.",5,"Multiple, simple, disconnected, interactive visualizations",LAK,2,0,"<b> Citation: </b>Bull, S., Ginon, B., Boscolo, C., & Johnson, M. (2016, April). Introduction of learning visualisations and metacognitive support in a persuadable open learner model. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 30-39). ACM.</br></br><b> Description: </b>Presents visualizations for the open-learner model.</br></br><b> CET: </b>Describes the open learner model, but there is not explicit connection to the design (other than a citation). Brings the open-learner model back on the discussion.</br></br><b> SoV: </b>Multiple, simple, disconnected, interactive visualizations</br></br></br></br><b> Citation: </b>Bull, S., Kickmeier-Rust, M., Vatrapu, R. K., Johnson, M. D., Hammermueller, K., Byrne, W., ... & Meissl-Egghart, G. (2013, September). Learning, Learning Analytics, Activity Visualisation and Open Learner Model: Confusing?. In European Conference on Technology Enhanced Learning (pp. 532-535). Springer Berlin Heidelberg.</br></br><b> Description: </b>Next-TELL - Visualization tool for the open learner model</br></br><b> CET: </b>Mentions the Competence-based knowledge space theory as the framework that informed part of the tool, and briefly mentions other competency frameworks.</br></br><b> SoV: </b>Multiple, simple, disconnected, interactive visualizations</br></br>"
"Martinez-Maldonado, R., Pardo, A., Mirriahi, N., Yacef, K., Kay, J., & Clayphan, A. (2016). Latux: an iterative workflow for designing, validating and deploying learning analytics visualisations. Journal of Learning Analytics, 2(3), 9-39.
Chicago ","Proposes a workflow for developing learning analytics tools, and includes a case study. The scores used for this paper correspond to the case study that describes a dashboard for teachers to understand students' collaboration",5,"Brielfy connects with social proxies, equity of oral participation and decision making, and levels of participation at the tabletop to inform the design of  four visualizations. Does not discuss findings under these theories",6,"Simple, multi-level, interactive visualizations",Journal of Learning Analytics,1,8,"<b> Citation: </b>Martinez-Maldonado, R., Pardo, A., Mirriahi, N., Yacef, K., Kay, J., & Clayphan, A. (2016). Latux: an iterative workflow for designing, validating and deploying learning analytics visualisations. Journal of Learning Analytics, 2(3), 9-39.
Chicago </br></br><b> Description: </b>Proposes a workflow for developing learning analytics tools, and includes a case study. The scores used for this paper correspond to the case study that describes a dashboard for teachers to understand students' collaboration</br></br><b> CET: </b>Brielfy connects with social proxies, equity of oral participation and decision making, and levels of participation at the tabletop to inform the design of  four visualizations. Does not discuss findings under these theories</br></br><b> SoV: </b>Simple, multi-level, interactive visualizations</br></br>"
"Wang, M., Peng, J., Cheng, B., Zhou, H., & Liu, J.. (2011). Knowledge Visualization for Self-Regulated Learning. Educational Technology & Society, 14 (3), 28–42. ",This study proposes a knowledge visualization tool for students,6,"Connects with self-regulated learning and informs the design using this theory. However, this is not brought back on the discussion",3,Simple interactive visualizations are presented,Educational Technology & Society,2,0,"<b> Citation: </b>Wang, M., Peng, J., Cheng, B., Zhou, H., & Liu, J.. (2011). Knowledge Visualization for Self-Regulated Learning. Educational Technology & Society, 14 (3), 28–42. </br></br><b> Description: </b>This study proposes a knowledge visualization tool for students</br></br><b> CET: </b>Connects with self-regulated learning and informs the design using this theory. However, this is not brought back on the discussion</br></br><b> SoV: </b>Simple interactive visualizations are presented</br></br></br></br><b> Citation: </b>Beheshitha, S. S., Hatala, M., Gaševi?, D., & Joksimovi?, S. (2016, April). The role of achievement goal orientations when studying effect of learning analytics visualizations. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 54-63). ACM.</br></br><b> Description: </b>Evaluates three visualization tools for online discussions</br></br><b> CET: </b>Discusses achievement goal orientation (AGO), and collaborative learning. Both elements are brought back in the discussion section. However, there is no clear connection to the actual visualizations.</br></br><b> SoV: </b>Multiple, simple, disconnected visualizations</br></br>"
