Citation,Description,CVG,CommentsCVG,CET,CommentsCET,Venue,Count,Group,HtmlText
"Muñoz-Merino, P. J., Ruipérez-Valiente, J. A., Alario-Hoyos, C., Pérez-Sanagustín, M., & Kloos, C. D. (2015). Precise Effectiveness Strategy for analyzing the effectiveness of students with educational resources and activities in MOOCs. Computers in Human Behavior, 47, 108-118.",Proposes a metric called Precise Effectiveness Strategy (PES) to calculate students' effectiveness with educational resources,2,"Makes the case for the need of specific visualizations, but does not review the background.",5,"Presents a background of students' effectiveness in learning to inform the PES, but does not inform the visualization using this background, and only cites one of these papers to discuss the findings",Computers in Human Behavior,1,3,"<b> Citation: </b>Muñoz-Merino, P. J., Ruipérez-Valiente, J. A., Alario-Hoyos, C., Pérez-Sanagustín, M., & Kloos, C. D. (2015). Precise Effectiveness Strategy for analyzing the effectiveness of students with educational resources and activities in MOOCs. Computers in Human Behavior, 47, 108-118.</br></br><b> Description: </b>Proposes a metric called Precise Effectiveness Strategy (PES) to calculate students' effectiveness with educational resources</br></br><b> CVG: </b>Makes the case for the need of specific visualizations, but does not review the background.</br></br><b> CET: </b>Presents a background of students' effectiveness in learning to inform the PES, but does not inform the visualization using this background, and only cites one of these papers to discuss the findings</br></br>"
"Shum, S. B., & Crick, R. D. (2012, April). Learning dispositions and transferable competencies: pedagogy, modelling and learning analytics. In Proceedings of the 2nd International Conference on Learning Analytics and Knowledge (pp. 92-101). ACM.",Propose a learninig analytics tool that integrates engagement and pedagogy for visualization of Effective Lifelong Leanring Inventory,2,"Very brief mention of other spider diagrams that have been extended to include characters. However, there is no connection to existing literature that informs the design or allows to discuss findings",7,"Defines meta-competences, engagement, disengagement, learning power, to inform data collection, but not the visualization itself.  Brings back the literature in the discussion section",Educational Technology & Society,1,5,"<b> Citation: </b>Shum, S. B., & Crick, R. D. (2012, April). Learning dispositions and transferable competencies: pedagogy, modelling and learning analytics. In Proceedings of the 2nd International Conference on Learning Analytics and Knowledge (pp. 92-101). ACM.</br></br><b> Description: </b>Propose a learninig analytics tool that integrates engagement and pedagogy for visualization of Effective Lifelong Leanring Inventory</br></br><b> CVG: </b>Very brief mention of other spider diagrams that have been extended to include characters. However, there is no connection to existing literature that informs the design or allows to discuss findings</br></br><b> CET: </b>Defines meta-competences, engagement, disengagement, learning power, to inform data collection, but not the visualization itself.  Brings back the literature in the discussion section</br></br>"
"Van Leeuwen, A., Janssen, J., Erkens, G., & Brekelmans, M. (2014). Supporting teachers in guiding collaborating students: Effects of learning analytics in CSCL. Computers & Education, 79, 28-39.",This paper describes a tool for teacher support,2,"There is no clear connection with visualization background. There is a mention to having ""visualizations that are easy to interpret"", but it is unclear how existing literature informed this.",9,The paper presents a complete review of  computer supported collaborative learning and how learning analytics tools can support teachers and uses this literature to inform the presented work. The findings are briefly discussed under this lens.,International Conference on Interaction Design and Children,1,7,"<b> Citation: </b>Van Leeuwen, A., Janssen, J., Erkens, G., & Brekelmans, M. (2014). Supporting teachers in guiding collaborating students: Effects of learning analytics in CSCL. Computers & Education, 79, 28-39.</br></br><b> Description: </b>This paper describes a tool for teacher support</br></br><b> CVG: </b>There is no clear connection with visualization background. There is a mention to having ""visualizations that are easy to interpret"", but it is unclear how existing literature informed this.</br></br><b> CET: </b>The paper presents a complete review of  computer supported collaborative learning and how learning analytics tools can support teachers and uses this literature to inform the presented work. The findings are briefly discussed under this lens.</br></br>"
"Hernández-García, Á., González-González, I., Jiménez-Zarco, A. I., & Chaparro-Peláez, J. (2015). Applying social learning analytics to message boards in online distance learning: A case study. Computers in Human Behavior, 47, 68-80.",This paper describes a learning analytics tool for students to explore their online collaborations using an open-source software,2,There is no analysis of visualization tools for social network analysis. Only brief mention to visualizations in learning analytics.,10,"Makes connection with social network analysis and collaboration, and uses this literature to discuss the findings.",IEEE Transactions on Visualization and Computer Graphics,2,6,"<b> Citation: </b>Hernández-García, Á., González-González, I., Jiménez-Zarco, A. I., & Chaparro-Peláez, J. (2015). Applying social learning analytics to message boards in online distance learning: A case study. Computers in Human Behavior, 47, 68-80.</br></br><b> Description: </b>This paper describes a learning analytics tool for students to explore their online collaborations using an open-source software</br></br><b> CVG: </b>There is no analysis of visualization tools for social network analysis. Only brief mention to visualizations in learning analytics.</br></br><b> CET: </b>Makes connection with social network analysis and collaboration, and uses this literature to discuss the findings.</br></br></br></br><b> Citation: </b>Aramo-Immonen, H., Jussila, J., & Huhtamäki, J. (2015). Exploring co-learning behavior of conference participants with visual network analysis of Twitter data. Computers in Human Behavior, 51, 1154-1162.</br></br><b> Description: </b>Understanding co-learning using a visualization tool for twitter data.</br></br><b> CVG: </b>Uses an existing tool for the visualization and does not review background literature in visualization</br></br><b> CET: </b>Introduces collaborative learning as the educational theory guiding this study, and uses existing literature to make sense out of the visualization</br></br>"
"Trimm, D., & Rheingans, P. (2012). Visualizing student histories using clustering and composition. IEEE transactions on visualization and computer graphics, 18(12), 2809-2818.",This paper proposes a tool to visualize students' academic historiy throughout several semesters,3,"Briefly describes related work and makes connections to lessos learned in existing literature. However, this connection is not clear on the design, nor is it used to discuss the results",2,The paper does not involve an educational theory. The purpose of this visualization is to provide insights on important and difficult courses,Educational Technology & Society,1,5,"<b> Citation: </b>Trimm, D., & Rheingans, P. (2012). Visualizing student histories using clustering and composition. IEEE transactions on visualization and computer graphics, 18(12), 2809-2818.</br></br><b> Description: </b>This paper proposes a tool to visualize students' academic historiy throughout several semesters</br></br><b> CVG: </b>Briefly describes related work and makes connections to lessos learned in existing literature. However, this connection is not clear on the design, nor is it used to discuss the results</br></br><b> CET: </b>The paper does not involve an educational theory. The purpose of this visualization is to provide insights on important and difficult courses</br></br>"
"Verbert, K., Duval, E., Klerkx, J., Govaerts, S., & Santos, J. L. (2013). Learning analytics dashboard applications. American Behavioral Scientist, 57(10), 1500-1509.",This paper proposes a model to compare learning analytics dashboards.   Compare their dashboard to other existing dashboards. The analysis we conduct here is on the StepUp! tool,3,The paper makes a review of literature about dashboards but does not use this background to inform their design,3,"The paper mentions ""computer-=supported collaborative learning"" but does not make a explicit connection to the presented work",LAK,4,9,"<b> Citation: </b>Verbert, K., Duval, E., Klerkx, J., Govaerts, S., & Santos, J. L. (2013). Learning analytics dashboard applications. American Behavioral Scientist, 57(10), 1500-1509.</br></br><b> Description: </b>This paper proposes a model to compare learning analytics dashboards.   Compare their dashboard to other existing dashboards. The analysis we conduct here is on the StepUp! tool</br></br><b> CVG: </b>The paper makes a review of literature about dashboards but does not use this background to inform their design</br></br><b> CET: </b>The paper mentions ""computer-=supported collaborative learning"" but does not make a explicit connection to the presented work</br></br></br></br><b> Citation: </b>Kotranza, A., Lind, D. S., & Lok, B. (2012). Real-time evaluation and visualization of learner performance in a mixed-reality environment for clinical breast examination. IEEE transactions on visualization and computer graphics, 18(7), 1101-1114.</br></br><b> Description: </b>This paper proposes a tool to visualize students' interactions with a simulation that was used for training in clinical breast examination</br></br><b> CVG: </b>Brief description of related work, without informing the design, or discussing the findings under the lens of existing literature</br></br><b> CET: </b>The paper presents a review of mixed reality environments but does not make a connection to learning theories.</br></br></br></br><b> Citation: </b>Ruipérez-Valiente, J. A., Muñoz-Merino, P. J., Leony, D., & Kloos, C. D. (2015). ALAS-KA: A learning analytics extension for better understanding the learning process in the Khan Academy platform. Computers in Human Behavior, 47, 139-148.</br></br><b> Description: </b>This paper presents a learning analytics tool for Khan Academy.</br></br><b> CVG: </b>Makes the case for the use of pie charts, but does not present alternatives</br></br><b> CET: </b>Although the paper proposes specific constructs to explore using  the analytics tool (e.g., persistence, affective states), there is no connection with theories or relevant literature to support these constructs</br></br></br></br><b> Citation: </b>Eagle, M., Brown, R., Rowe, E., Barnes, T., Asbell-Clarke, J., & Edwards, T. (2015). Exploring Problem-Solving Behavior in an Optics Game. In EDM (pp. 584-585).</br></br><b> Description: </b>Uses network maps to understand students' problem-solving behavior in a game</br></br><b> CVG: </b>Connects with one reference from their own prior work.</br></br><b> CET: </b>Connects with one reference from their own prior work.</br></br>"
"Duque, R., Gómez-Pérez, D., Nieto-Reyes, A., & Bravo, C. (2015). Analyzing collaboration and interaction in learning environments to form learner groups. Computers in Human Behavior, 47, 42-49.","Proposes a method to analyze students interactions, which is then used to create working groups",3,"Makes the case for the use of a specific visualization, and it says to be inspired in the DD-plot. However, it does not makes a review of other approaches for an informed decision",4,"Presents a background of computer supported collaborative learning as input for the proposed work, but does not explicitly inform the design, or discuss findings using this literature",EDM,1,4,"<b> Citation: </b>Duque, R., Gómez-Pérez, D., Nieto-Reyes, A., & Bravo, C. (2015). Analyzing collaboration and interaction in learning environments to form learner groups. Computers in Human Behavior, 47, 42-49.</br></br><b> Description: </b>Proposes a method to analyze students interactions, which is then used to create working groups</br></br><b> CVG: </b>Makes the case for the use of a specific visualization, and it says to be inspired in the DD-plot. However, it does not makes a review of other approaches for an informed decision</br></br><b> CET: </b>Presents a background of computer supported collaborative learning as input for the proposed work, but does not explicitly inform the design, or discuss findings using this literature</br></br>"
"Xing, W., Wadholm, R., Petakovic, E., & Goggins, S. (2015). Group Learning Assessment: Developing a Theory-Informed Analytics. Educational Technology & Society, 18 (2), 110–128.",Proposes a learning analytics tool to understand students' interactions in group work,3,"Makes a case for the importance of using visualizations to understand large data sets, and mentions the authors' prior work on visualizations, but does not make a explicit connection to visualization background to inform their design",8,"Introduces computer supported collaborative learning, and group cognition to inform the development of the tool. Discusses the findings under the lens of these theories",LAK,1,9,"<b> Citation: </b>Xing, W., Wadholm, R., Petakovic, E., & Goggins, S. (2015). Group Learning Assessment: Developing a Theory-Informed Analytics. Educational Technology & Society, 18 (2), 110–128.</br></br><b> Description: </b>Proposes a learning analytics tool to understand students' interactions in group work</br></br><b> CVG: </b>Makes a case for the importance of using visualizations to understand large data sets, and mentions the authors' prior work on visualizations, but does not make a explicit connection to visualization background to inform their design</br></br><b> CET: </b>Introduces computer supported collaborative learning, and group cognition to inform the development of the tool. Discusses the findings under the lens of these theories</br></br>"
"Janssen, J., Erkens, G., Kanselaar, G., & Jaspers, J. (2007). Visualization of participation: Does it contribute to successful computer-supported collaborative learning?. Computers & Education, 49(4), 1037-1065.",This paper describes a visualization tool for students to explore their collaborations.,3,Brief mention to the effect of visualizing participation. Unclear connection with the design of the visualization,9,"Makes connection between the visualization of collaboration, motivation, and external fedback. However, only a brienf mention in the discussion is presented.",American Behavioral Scientist,1,1,"<b> Citation: </b>Janssen, J., Erkens, G., Kanselaar, G., & Jaspers, J. (2007). Visualization of participation: Does it contribute to successful computer-supported collaborative learning?. Computers & Education, 49(4), 1037-1065.</br></br><b> Description: </b>This paper describes a visualization tool for students to explore their collaborations.</br></br><b> CVG: </b>Brief mention to the effect of visualizing participation. Unclear connection with the design of the visualization</br></br><b> CET: </b>Makes connection between the visualization of collaboration, motivation, and external fedback. However, only a brienf mention in the discussion is presented.</br></br>"
"Jacovina, M. E., Snow, E. L., Allen, L. K., Roscoe, R. D., Weston, J. L., Dai, J., & McNamara, D. S. (2015). How to visualize success: Presenting complex data in a writing strategy tutor. In Proceedings of 8th international conference on educational data mining.",Visualization of students progresss in an intelligent tutoring system,4,Brief justification of the use of pie charts to inform design,3,Brief mention to intelligent tutoring systems,Journal of Learning Analytics,1,8,"<b> Citation: </b>Jacovina, M. E., Snow, E. L., Allen, L. K., Roscoe, R. D., Weston, J. L., Dai, J., & McNamara, D. S. (2015). How to visualize success: Presenting complex data in a writing strategy tutor. In Proceedings of 8th international conference on educational data mining.</br></br><b> Description: </b>Visualization of students progresss in an intelligent tutoring system</br></br><b> CVG: </b>Brief justification of the use of pie charts to inform design</br></br><b> CET: </b>Brief mention to intelligent tutoring systems</br></br>"
"Minovi?, M., Milovanovi?, M., Šoševi?, U., & González, M. Á. C. (2015). Visualisation of student learning model in serious games. Computers in Human Behavior, 47, 98-107.",Proposes a visualization tool for student learning model in an educational game,4,"Makes explicit the rationale for a circular graph to inform their design, but only connects it with one reference, and does not discuss findings using existing literature",5,"Integrates Anderson's Taxonomy model for the development of the tool, but only brief connection with it on the discussion section is presented. Moreover, although ""informs"" the visualization in the context of educational games, there are no references for this connection.",Computers in Human Behavior,2,0,"<b> Citation: </b>Minovi?, M., Milovanovi?, M., Šoševi?, U., & González, M. Á. C. (2015). Visualisation of student learning model in serious games. Computers in Human Behavior, 47, 98-107.</br></br><b> Description: </b>Proposes a visualization tool for student learning model in an educational game</br></br><b> CVG: </b>Makes explicit the rationale for a circular graph to inform their design, but only connects it with one reference, and does not discuss findings using existing literature</br></br><b> CET: </b>Integrates Anderson's Taxonomy model for the development of the tool, but only brief connection with it on the discussion section is presented. Moreover, although ""informs"" the visualization in the context of educational games, there are no references for this connection.</br></br></br></br><b> Citation: </b>Bull, S., Ginon, B., Boscolo, C., & Johnson, M. (2016, April). Introduction of learning visualisations and metacognitive support in a persuadable open learner model. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 30-39). ACM.</br></br><b> Description: </b>Presents visualizations for the open-learner model.</br></br><b> CVG: </b>Connects to prior work that suggests that these visualizations are"" beneficial in OLMs, to allow users to select the visualisation according to their reason for viewing the learner model and their individual preferences for viewing"". No discussion of the design, or the results</br></br><b> CET: </b>Describes the open learner model, but there is not explicit connection to the design (other than a citation). Brings the open-learner model back on the discussion.</br></br>"
"Hsiao, I. H., Pandhalkudi Govindarajan, S. K., & Lin, Y. L. (2016, April). Semantic visual analytics for today's programming courses. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 48-53). ACM.",Introduces a visualization tool for analysis of programming tests,5,"Makes a review of visual learning analytics, to inform the design of a semantic visual analytics tool. However, the connection to the actual design is not explicit, and there is no connection to the literature in the discussion",4,Introduces computer-supported collaborative learning and orchestration. No clear connection to the design and no discussion of results under the lens of literature,LAK,2,9,"<b> Citation: </b>Hsiao, I. H., Pandhalkudi Govindarajan, S. K., & Lin, Y. L. (2016, April). Semantic visual analytics for today's programming courses. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 48-53). ACM.</br></br><b> Description: </b>Introduces a visualization tool for analysis of programming tests</br></br><b> CVG: </b>Makes a review of visual learning analytics, to inform the design of a semantic visual analytics tool. However, the connection to the actual design is not explicit, and there is no connection to the literature in the discussion</br></br><b> CET: </b>Introduces computer-supported collaborative learning and orchestration. No clear connection to the design and no discussion of results under the lens of literature</br></br></br></br><b> Citation: </b>Davis, D., Chen, G., Hauff, C., & Houben, G. J. (2016). Gauging MOOC Learners' Adherence to the Designed Learning Path. In Proceedings of the 9th International Conference on Educational Data Mining (EDM). Raleigh, NC, USA.</br></br><b> Description: </b>Identifies learning pahts from students in a MOOC</br></br><b> CVG: </b>Brief introduction to visualization of Markov chains to inform the design</br></br><b> CET: </b>Provides background on learner modeling, but does not connect to the design of the visualization. There is not discussion of the findings under the existing literature</br></br>"
